Section,rule,display name,action,source,dest,service
pp2_clp-CLP,16,pp2_splunk-http-event-collector,ALLOW,"10.61.12.0/24
10.1.82.64/27
192.168.3.212/30
192.168.3.224/27
10.211.99.0/24
192.168.3.216/29","10.193.5.84","TCP/8088"
pp2_clp-CLP,17,pp2_splunk-http-event-collector,ALLOW,"192.168.16.210
192.168.16.209
192.168.16.211","10.193.5.84","TCP/8088"
pp2_clp-CLP,18,pp2_splunk-http-event-collector,ALLOW,"100.79.0.0/17","10.193.5.84","TCP/8088"
pp2_clp-CLP,19,pp2_splunk-http-event-collector,ALLOW,"10.94.0.0/16
10.96.0.0/16
10.93.0.0/16
10.93.137.160/28
10.162.0.0/16
10.161.0.0/16
10.93.137.96/28","10.193.5.84","TCP/8088"
pp2_clp-CLP,20,pp2_splunk-http-event-collector,ALLOW,"192.168.48.0/20
10.53.0.0/24
10.17.100.0/24
192.168.2.0/23
10.180.18.0/23
10.18.10.0/24
10.180.20.0/23
192.168.200.0/23
10.1.74.0/24
10.17.144.0/23
192.168.12.0/22
10.53.32.0/23
10.1.82.0/23
10.1.112.0/23
10.18.23.64/26
10.1.86.0/23
10.1.58.0/23
192.168.16.0/22
192.168.0.0/21
10.18.2.0/23
10.17.8.0/24
10.1.22.0/24
10.3.60.0/24
10.51.48.0/22
10.18.24.160/27","10.193.5.84","TCP/8088"
pp2_clp-CLP,21,pp2_splunk-http-event-collector,ALLOW,"10.95.0.0/16","10.193.5.84","TCP/8088"
pp2_clp-CLP,22,pp2_syslog-TCP,ALLOW,"255.255.255.255","255.255.255.255","TCP/514"
pp2_clp-CLP,23,pp2_splunk-fwd,ALLOW,"10.162.0.0/16","255.255.255.255","TCP/9997"
pp2_clp-CLP,24,pp2_clp_aws_ingress,ALLOW,"10.0.0.0/8","100.74.48.0/20
100.72.96.0/20
100.76.0.0/20","TCP/9997"
pp3_clp-CLP,0,pp3_puppet-client,ALLOW,"10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","10.195.10.80
10.195.10.70","TCP/61613"
pp3_clp-CLP,1,pp3_https,ALLOW,"192.168.48.0/20
10.53.0.0/24
10.17.100.0/24
192.168.2.0/23
10.180.18.0/23
10.18.10.0/24
10.180.20.0/23
192.168.200.0/23
10.1.74.0/24
10.17.144.0/23
192.168.12.0/22
10.53.32.0/23
10.1.82.0/23
10.1.112.0/23
10.18.23.64/26
10.1.86.0/23
10.1.58.0/23
192.168.16.0/22
192.168.0.0/21
10.18.2.0/23
10.17.8.0/24
10.1.22.0/24
10.3.60.0/24
10.51.48.0/22
10.18.24.160/27","10.241.4.150
10.121.4.150","TCP/443"
pp3_clp-CLP,2,pp3_clp-splunk-core-services,ALLOW,"10.195.10.0/24","10.195.10.0/24","TCP/9888"
pp3_clp-CLP,3,pp3_clp-splunk-core-services,ALLOW,"10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","10.195.10.0/24","TCP/9888"
pp3_clp-CLP,4,pp3_clp-splunk-ingress,ALLOW,"10.195.0.0/16","10.195.10.0/24","TCP/514"
pp3_clp-CLP,5,pp3_splunk-server-api,ALLOW,"10.195.10.0/24","10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","TCP/8089"
pp3_clp-CLP,6,pp3_splunk-http-event-collector,ALLOW,"10.195.0.0/16","10.195.5.84","TCP/8088"
pp3_clp-CLP,7,pp3_ssh,ALLOW,"10.120.163.46
10.210.163.12","10.195.10.0/24","TCP/22"
pp3_clp-CLP,8,pp3_ssh,ALLOW,"10.120.163.46
10.210.163.12","10.201.230.17","TCP/22"
pp3_clp-CLP,9,pp3_web,ALLOW,"10.121.4.0/24
10.241.4.0/24","10.120.163.46
10.210.163.12","TCP/80"
pp3_clp-CLP,10,pp3_splunk-http-event-collector,ALLOW,"10.216.216.0/24","10.195.10.0/24","TCP/8088"
pp3_clp-CLP,11,pp3_splunk-http-event-collector,ALLOW,"10.210.0.0/16
10.215.0.0/16
10.216.0.0/16","10.195.5.84","TCP/8088"
pp3_clp-CLP,12,pp3_splunk-server-api,ALLOW,"10.210.0.0/16
10.215.0.0/16
10.216.0.0/16","10.195.5.84","TCP/8089"
pp3_clp-CLP,13,pp3_splunk-server-api,ALLOW,"10.195.0.0/16","10.195.5.84","TCP/8089"
pp3_clp-CLP,14,pp3_splunk-server-api-plus-https,ALLOW,"10.195.10.0/24","100.99.0.0/20
100.100.2.0/23
100.99.32.0/20","TCP/443"
pp3_clp-CLP,15,pp3_clp-splunk-core-services,ALLOW,"10.195.10.0/24","100.79.162.0/23
100.79.130.0/23","TCP/9888"
pp3_clp-CLP,16,pp3_splunk-http-event-collector,ALLOW,"10.61.12.0/24
10.1.82.64/27
192.168.3.212/30
192.168.3.224/27
10.211.99.0/24
192.168.3.216/29","10.195.5.84","TCP/8088"
pp3_clp-CLP,17,pp3_splunk-http-event-collector,ALLOW,"192.168.16.210
192.168.16.209
192.168.16.211","10.195.5.84","TCP/8088"
pp3_clp-CLP,18,pp3_splunk-http-event-collector,ALLOW,"100.79.0.0/17","10.195.5.84","TCP/8088"
pp3_clp-CLP,19,pp3_splunk-http-event-collector,ALLOW,"10.94.0.0/16
10.96.0.0/16
10.93.0.0/16
10.93.137.160/28
10.162.0.0/16
10.161.0.0/16
10.93.137.96/28","10.195.5.84","TCP/8088"
pp3_clp-CLP,20,pp3_splunk-http-event-collector,ALLOW,"192.168.48.0/20
10.53.0.0/24
10.17.100.0/24
192.168.2.0/23
10.180.18.0/23
10.18.10.0/24
10.180.20.0/23
192.168.200.0/23
10.1.74.0/24
10.17.144.0/23
192.168.12.0/22
10.53.32.0/23
10.1.82.0/23
10.1.112.0/23
10.18.23.64/26
10.1.86.0/23
10.1.58.0/23
192.168.16.0/22
192.168.0.0/21
10.18.2.0/23
10.17.8.0/24
10.1.22.0/24
10.3.60.0/24
10.51.48.0/22
10.18.24.160/27","10.195.5.84","TCP/8088"
pp3_clp-CLP,21,pp3_splunk-http-event-collector,ALLOW,"255.255.255.255/32","10.195.5.84","TCP/8088"
pp3_clp-CLP,22,pp3_syslog-TCP,ALLOW,"255.255.255.255","255.255.255.255","TCP/514"
pp3_clp-CLP,23,pp3_splunk-fwd,ALLOW,"10.162.0.0/16","255.255.255.255","TCP/9997"
pp3_clp-CLP,24,pp3_clp_aws_ingress,ALLOW,"10.0.0.0/8","100.74.48.0/20
100.72.96.0/20
100.76.0.0/20","TCP/9997"
do_test,10,rule1,ALLOW,"100.76.48.0/23
100.76.50.0/23
100.76.52.0/23","100.76.48.0/23
100.76.50.0/23
100.76.52.0/23","TCP/6379"
do_test,20,rule2,ALLOW,"10.1.29.245","172.17.100.0/24
10.40.220.0/24
172.17.0.0/24","TCP/9070"
do_test,30,rul3,ALLOW,"172.17.100.0/24
10.40.220.0/24
172.17.0.0/24","10.40.220.206","TCP/80"
do_test,40,rule4,ALLOW,"10.40.220.206","10.40.220.203","TCP/61623"
do_test,50,rule5,ALLOW,"10.40.220.202","10.191.77.0/24","TCP/8888"
do_test,60,rule6,ALLOW,"10.195.5.0/24","10.215.216.0/21","TCP/6129"
pp1_ext-api-proxy-ext-proxy,0,pp1_ext-api-ports,ALLOW,"10.191.7.11
10.191.7.12","200.0.0.0/5
172.64.0.0/10
172.128.0.0/9
12.0.0.0/6
16.0.0.0/4
11.0.0.0/8
32.0.0.0/3
128.0.0.0/3
196.0.0.0/6
64.0.0.0/2
194.0.0.0/7
172.0.0.0/12
192.160.0.0/13
192.170.0.0/15
192.0.0.0/9
160.0.0.0/5
192.128.0.0/11
193.0.0.0/8
208.0.0.0/4
192.172.0.0/14
176.0.0.0/4
192.169.0.0/16
192.176.0.0/12
174.0.0.0/7
0.0.0.0/5
192.192.0.0/10
172.32.0.0/11
8.0.0.0/7
173.0.0.0/8
168.0.0.0/6","TCP/80"
pp1_turin-international-aws-turin,0,pp1_https,ALLOW,"100.77.68.0/23
100.77.32.0/23
100.77.36.0/23
100.77.64.0/23
100.77.34.0/23
100.77.66.0/23","10.191.5.115","TCP/443"
pp1_whc-nexus-NEX,0,pp1_nexus_rep_ports,ALLOW,"10.210.154.0/24
10.191.64.0/18
10.191.0.0/18","10.191.3.13
10.191.3.14
10.191.3.18","TCP/8443"
pp1_whc-nexus-NEX,1,pp1_nexus_rep_ports,ALLOW,"10.191.67.0/24
10.191.3.0/24","10.191.3.13
10.191.3.14
10.191.3.18","TCP/8443"
pp1_whc-nexus-NEX,2,pp1_nfs_nas_ports,ALLOW,"10.191.10.0/24","10.120.46.0/24","TCP/2049"
pp1_whc-nexus-NEX,3,pp1_smtp,ALLOW,"10.191.3.13
10.191.3.14
10.191.3.18","10.180.33.164
10.210.33.165
10.180.33.165
10.210.33.164
10.120.33.164
10.120.33.165","TCP/25"
pp1_whc-nexus-NEX,4,pp1_nexus_rep_ports,ALLOW,"192.168.48.0/20
10.53.0.0/24
10.17.100.0/24
192.168.2.0/23
10.180.18.0/23
10.180.20.0/24
10.1.142.0/23
192.168.200.0/23
10.1.74.0/24
10.17.144.0/23
192.168.12.0/22
10.1.82.0/23
10.1.52.0/23
10.18.23.64/26
10.55.12.0/22
10.1.86.0/23
10.1.58.0/23
192.168.24.0/22
192.168.16.0/22
10.1.144.0/23
10.172.199.0/24
10.1.78.0/24
10.18.2.0/24
192.168.0.0/21
10.17.8.0/24
10.55.224.0/22
10.1.22.0/24
10.3.60.0/24
10.18.24.160/27","10.191.4.205","TCP/8443"
pp1_whc-nexus-NEX,5,pp1_nexus_rep_ports,ALLOW,"10.210.201.0/24
10.93.137.160/28
10.241.0.0/16
100.96.0.0/13
100.90.0.0/16
100.100.64.0/19
100.93.0.0/17
100.92.0.0/17
10.191.0.0/16
10.181.0.0/16
10.208.0.0/16
100.98.192.0/19
100.92.128.0/17
10.55.18.0/24
10.195.0.0/16
10.193.0.0/16
100.72.0.0/13
10.116.0.0/16
10.201.230.0/24
100.104.0.0/13
10.125.0.0/16
10.121.0.0/16
100.98.128.0/19
10.161.0.0/16
10.119.0.0/16
100.100.32.0/19
10.93.137.96/28
10.115.0.0/16
10.114.0.0/16
100.100.96.0/19
100.98.160.0/19
100.100.0.0/19
100.98.224.0/19
10.178.96.0/20
10.210.200.0/24","10.191.3.13
10.191.3.14
10.191.3.18","TCP/8443"
pp1_whc-nexus-NEX,6,pp1_backup_ports,ALLOW,"10.191.3.13
10.191.3.14
10.191.3.18","10.210.143.171","TCP/443"
pp1_whc-nexus-NEX,7,pp1_doc_reg_ports,ALLOW,"10.55.18.0/24","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,8,pp1_doc_reg_ports,ALLOW,"10.214.172.3
10.115.172.3
10.212.172.3
10.118.197.11
10.120.172.4
10.118.197.12
10.120.172.3
10.210.200.107","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,9,pp1_nexus-gui,ALLOW,"10.210.163.0/24","10.191.4.205","TCP/8443"
pp1_whc-nexus-NEX,10,pp1_nexus-gui,ALLOW,"10.114.32.96/27","10.191.4.205","TCP/8443"
pp1_whc-nexus-NEX,11,pp1_https,ALLOW,"172.17.1.0/24","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,12,pp1_https,ALLOW,"172.17.1.0/24","10.191.3.13
10.191.3.14
10.191.3.18","TCP/443"
pp1_whc-nexus-NEX,13,pp1_http,ALLOW,"10.191.3.13
10.191.3.14
10.191.3.18","10.210.201.227","TCP/80"
pp1_whc-nexus-NEX,14,pp1_nexus,ALLOW,"10.191.3.13
10.191.3.14
10.191.3.18","10.210.200.230","TCP/8081"
pp1_whc-nexus-NEX,15,pp1_https,ALLOW,"10.174.104.0/24
10.174.111.128/25","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,16,pp1_https,ALLOW,"10.174.104.0/24
10.174.111.128/25","10.191.3.13
10.191.3.14
10.191.3.18","TCP/443"
pp1_whc-nexus-NEX,17,pp1_web-services,ALLOW,"10.215.175.47","10.191.3.13
10.191.3.14
10.191.3.18","TCP/443"
pp1_whc-nexus-NEX,18,pp1_https,ALLOW,"10.236.0.0/16","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,19,pp1_nexus-gui,ALLOW,"10.210.67.10
10.210.193.236
10.210.193.235
10.112.208.13
10.112.208.12
10.120.193.240
10.120.193.235
10.180.193.235
10.180.193.236
10.112.208.11
10.123.197.235
10.180.67.10
10.180.193.232
10.120.193.236
10.120.67.10
10.53.98.16","10.191.3.13
10.191.3.14
10.191.3.18","TCP/8443"
pp1_whc-nexus-NEX,20,pp1_nexus-secure,ALLOW,"10.1.29.35
10.1.29.36
10.1.29.150
10.211.163.15","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,21,pp1_nexus-gui,ALLOW,"10.114.32.0/24","10.191.4.205","TCP/8443"
pp1_whc-nexus-NEX,22,pp1_https,ALLOW,"10.180.163.0/24","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,23,pp1_https,ALLOW,"10.180.163.198","10.191.3.13
10.191.3.14
10.191.3.18","TCP/443"
pp1_whc-nexus-NEX,24,pp1_https,ALLOW,"10.180.163.50
10.112.12.150","10.191.3.13
10.191.3.14
10.191.3.18","TCP/443"
pp1_whc-nexus-NEX,25,pp1_https,ALLOW,"10.178.0.0/15","10.191.3.13
10.191.3.14
10.191.3.18","TCP/443"
pp1_whc-nexus-NEX,26,pp1_nexus-gui,ALLOW,"10.178.0.0/15","10.191.3.13
10.191.3.14
10.191.3.18","TCP/8443"
pp1_whc-nexus-NEX,27,pp1_https,ALLOW,"10.178.0.0/15","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,28,pp1_nexus-gui,ALLOW,"10.18.23.64/26
10.18.24.160/27","10.191.3.13
10.191.3.14
10.191.3.18","TCP/8443"
pp1_whc-nexus-NEX,29,pp1_web-services,ALLOW,"10.180.163.198","255.255.255.255","TCP/443"
pp1_whc-nexus-NEX,30,pp1_nexus-secure,ALLOW,"100.79.82.0/23
100.79.80.0/23
100.79.84.0/23","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,31,pp1_nexus-secure,ALLOW,"100.81.4.0/23
100.81.34.0/23
100.81.66.0/23
100.81.0.0/23
100.81.2.0/23
100.81.36.0/23
100.81.32.0/23
100.81.68.0/23
100.81.64.0/23","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,32,pp1_nexus-secure,ALLOW,"100.81.4.0/23
100.81.34.0/23
100.81.66.0/23
100.81.0.0/23
100.81.2.0/23
100.81.36.0/23
100.81.32.0/23
100.81.68.0/23
100.81.64.0/23","10.191.3.13
10.191.3.14
10.191.3.18","TCP/443"
pp1_whc-nexus-NEX,33,pp1_nfs_nas_ports,ALLOW,"10.191.10.0/24","10.156.5.170","TCP/2049"
pp1_whc-nexus-NEX,34,pp1_https,ALLOW,"10.191.3.13
10.191.3.14
10.191.3.18","18.34.240.0/22
255.255.255.255/32
3.251.110.208/28
18.34.32.0/20
3.5.64.0/21
3.5.72.0/23
52.92.0.0/17
52.218.0.0/17
3.251.110.224/28","TCP/443"
pp1_whc-nexus-NEX,35,pp1_nexus-secure,ALLOW,"255.255.255.255","10.191.3.13
10.191.3.14
10.191.3.18","TCP/443"
pp1_whc-nexus-NEX,36,pp1_nexus-secure,ALLOW,"255.255.255.255","10.191.4.205","TCP/443"
pp1_whc-nexus-NEX,37,pp1_nexus-secure,ALLOW,"10.95.0.0/26
10.95.0.64/26
10.95.0.128/26
10.93.137.160/28
10.161.0.0/16
10.93.137.96/28","10.191.4.205","TCP/443"
