hostname,syslog ip address,vrf
uk-sc1-cs01,10.120.163.37,internal-vrf
uk-sc1-cs01,10.120.163.95,internal-vrf
uk-sc1-dm01,10.120.163.37,Mgmt-intf
uk-sc1-dm01,10.120.163.95,Mgmt-intf
uk-sc1-dmvpn01,10.120.163.11,mgmt-vrf
uk-sc1-dmvpn01,10.120.163.95,mgmt-vrf
uk-sc1-dmvpn02,10.120.163.11,mgmt-vrf
uk-sc1-dmvpn02,10.120.163.95,mgmt-vrf
uk-sc1-er01,10.120.163.95,management
uk-sc1-er02,10.120.163.95,management
uk-sc1-es01,10.120.163.95,mgmtVrf
uk-sc1-es02,10.120.163.95,mgmtVrf
uk-sc1-rr01,10.120.163.95,group-vrf
uk-scc-sbc,194.102.6.63,
uk-scc-sbc,194.102.6.64,
uk-sov-cr01,192.168.1.61,group-vrf
uk-sov-cr01,10.120.163.37,group-vrf
uk-stj-ar01,192.168.1.61,
uk-stj-ar01,10.120.163.37,group-vrf
uk-stj-ar02,192.168.1.61,
uk-stj-ar02,10.120.163.37,group-vrf
uk-stj-cs01,192.168.1.61,
uk-thn-ar01-pa,10.120.163.11,group-vrf
uk-thn-ar01-pa,10.120.163.206,group-vrf
uk-thn-ar02-pa,10.120.163.11,group-vrf
uk-thn-ar02-pa,10.120.163.206,group-vrf
uk-thw-cr01,192.168.1.61,group-vrf
uk-thw-cr01,10.120.163.37,group-vrf
uk-thw-rr01,10.120.163.11,group-vrf
uk-wak-ar01,10.120.163.95,group-vrf
uk-wig-ar01-tote,10.120.163.11,group-vrf
uk-wig-ar01-tote,10.120.163.206,group-vrf
uk-wig-ar02-tote,10.120.163.11,group-vrf
uk-wig-ar02-tote,10.120.163.206,group-vrf
